Wavelength,Reflectance
490.600,0.929499
490.700,0.929515
490.800,0.929531
490.900,0.929547
491.000,0.929563
491.100,0.929578
491.200,0.929595
491.300,0.929611
491.400,0.929627
491.500,0.929643
491.600,0.929657
491.700,0.929673
491.800,0.929688
491.900,0.929703
492.000,0.929717
492.100,0.929733
492.200,0.929748
492.300,0.929763
492.400,0.929777
492.500,0.929793
492.600,0.929808
492.700,0.929823
492.800,0.929837
492.900,0.929853
493.000,0.929868
493.100,0.929884
493.200,0.929897
493.300,0.929910
493.400,0.929924
493.500,0.929938
493.600,0.929953
493.700,0.929965
493.800,0.929980
493.900,0.929993
494.000,0.930007
494.100,0.930021
494.200,0.930035
494.300,0.930049
494.400,0.930063
494.500,0.930076
494.600,0.930090
494.700,0.930104
494.800,0.930117
494.900,0.930129
495.000,0.930141
495.100,0.930153
495.200,0.930166
495.300,0.930179
495.400,0.930190
495.500,0.930203
495.600,0.930215
495.700,0.930229
495.800,0.930240
495.900,0.930253
496.000,0.930266
496.100,0.930279
496.200,0.930291
496.300,0.930302
496.400,0.930314
496.500,0.930324
496.600,0.930336
496.700,0.930346
496.800,0.930357
496.900,0.930368
497.000,0.930379
497.100,0.930389
497.200,0.930400
497.300,0.930412
497.400,0.930423
497.500,0.930433
497.600,0.930445
497.700,0.930456
497.800,0.930467
497.900,0.930476
498.000,0.930486
498.100,0.930495
498.200,0.930505
498.300,0.930514
498.400,0.930523
498.500,0.930532
498.600,0.930541
498.700,0.930551
498.800,0.930559
498.900,0.930569
499.000,0.930579
499.100,0.930589
499.200,0.930597
499.300,0.930607
499.400,0.930617
499.500,0.930625
499.600,0.930632
499.700,0.930639
499.800,0.930647
499.900,0.930655
500.000,0.930663
500.100,0.930669
500.200,0.930677
500.300,0.930685
500.400,0.930693
500.500,0.930700
500.600,0.930707
500.700,0.930716
500.800,0.930724
500.900,0.930731
501.000,0.930739
501.100,0.930745
501.200,0.930751
501.300,0.930756
501.400,0.930762
501.500,0.930768
501.600,0.930774
501.700,0.930780
501.800,0.930785
501.900,0.930791
502.000,0.930797
502.100,0.930803
502.200,0.930809
502.300,0.930815
502.400,0.930821
502.500,0.930828
502.600,0.930833
502.700,0.930837
502.800,0.930841
502.900,0.930846
503.000,0.930848
503.100,0.930853
503.200,0.930857
503.300,0.930862
503.400,0.930866
503.500,0.930869
503.600,0.930874
503.700,0.930878
503.800,0.930883
503.900,0.930886
504.000,0.930891
504.100,0.930895
504.200,0.930900
504.300,0.930901
504.400,0.930904
504.500,0.930906
504.600,0.930909
504.700,0.930911
504.800,0.930913
504.900,0.930916
505.000,0.930918
505.100,0.930921
505.200,0.930923
505.300,0.930926
505.400,0.930928
505.500,0.930931
505.600,0.930933
505.700,0.930936
505.800,0.930939
505.900,0.930940
506.000,0.930940
506.100,0.930941
506.200,0.930941
506.300,0.930942
506.400,0.930942
506.500,0.930943
506.600,0.930945
506.700,0.930945
506.800,0.930946
506.900,0.930947
507.000,0.930948
507.100,0.930948
507.200,0.930949
507.300,0.930950
507.400,0.930951
507.500,0.930950
507.600,0.930948
507.700,0.930948
507.800,0.930947
507.900,0.930946
508.000,0.930945
508.100,0.930945
508.200,0.930943
508.300,0.930943
508.400,0.930942
508.500,0.930941
508.600,0.930941
508.700,0.930940
508.800,0.930939
508.900,0.930939
509.000,0.930937
509.100,0.930935
509.200,0.930933
509.300,0.930930
509.400,0.930928
509.500,0.930926
509.600,0.930924
509.700,0.930922
509.800,0.930920
509.900,0.930917
510.000,0.930915
510.100,0.930912
510.200,0.930910
510.300,0.930909
510.400,0.930906
510.500,0.930904
510.600,0.930902
510.700,0.930897
510.800,0.930894
510.900,0.930891
511.000,0.930887
511.100,0.930884
511.200,0.930879
511.300,0.930876
511.400,0.930873
511.500,0.930869
511.600,0.930866
511.700,0.930862
511.800,0.930859
511.900,0.930855
512.000,0.930852
512.100,0.930848
512.200,0.930844
512.300,0.930840
512.400,0.930834
512.500,0.930830
512.600,0.930825
512.700,0.930821
512.800,0.930816
512.900,0.930811
513.000,0.930806
513.100,0.930802
513.200,0.930797
513.300,0.930793
513.400,0.930788
513.500,0.930783
513.600,0.930779
513.700,0.930774
513.800,0.930768
513.900,0.930763
514.000,0.930757
514.100,0.930752
514.200,0.930746
514.300,0.930740
514.400,0.930735
514.500,0.930730
514.600,0.930723
514.700,0.930718
514.800,0.930713
514.900,0.930706
515.000,0.930701
515.100,0.930694
515.200,0.930689
515.300,0.930684
515.400,0.930677
515.500,0.930671
515.600,0.930665
515.700,0.930657
515.800,0.930651
515.900,0.930645
516.000,0.930638
516.100,0.930632
516.200,0.930626
516.300,0.930619
516.400,0.930612
516.500,0.930605
516.600,0.930599
516.700,0.930592
516.800,0.930585
516.900,0.930578
517.000,0.930572
517.100,0.930564
517.200,0.930557
517.300,0.930550
517.400,0.930543
517.500,0.930536
517.600,0.930529
517.700,0.930521
517.800,0.930515
517.900,0.930507
518.000,0.930500
518.100,0.930493
518.200,0.930485
518.300,0.930478
518.400,0.930471
518.500,0.930463
518.600,0.930456
518.700,0.930448
518.800,0.930441
518.900,0.930433
519.000,0.930425
519.100,0.930417
519.200,0.930410
519.300,0.930402
519.400,0.930394
519.500,0.930387
519.600,0.930379
519.700,0.930371
519.800,0.930364
519.900,0.930355
520.000,0.930347
520.100,0.930340
520.200,0.930331
520.300,0.930323
520.400,0.930315
520.500,0.930307
520.600,0.930299
520.700,0.930291
520.800,0.930283
520.900,0.930275
521.000,0.930267
521.100,0.930259
521.200,0.930251
521.300,0.930243
521.400,0.930234
521.500,0.930226
521.600,0.930217
521.700,0.930209
521.800,0.930201
521.900,0.930193
522.000,0.930185
522.100,0.930176
522.200,0.930168
522.300,0.930160
522.400,0.930152
522.500,0.930143
522.600,0.930135
522.700,0.930126
522.800,0.930118
522.900,0.930109
523.000,0.930101
523.100,0.930093
523.200,0.930084
523.300,0.930075
523.400,0.930067
523.500,0.930058
523.600,0.930050
523.700,0.930042
523.800,0.930033
523.900,0.930025
524.000,0.930017
524.100,0.930008
524.200,0.930000
524.300,0.929991
524.400,0.929983
524.500,0.929974
524.600,0.929965
524.700,0.929957
524.800,0.929948
524.900,0.929939
525.000,0.929931
525.100,0.929923
525.200,0.929914
525.300,0.929906
525.400,0.929898
525.500,0.929889
525.600,0.929881
525.700,0.929871
525.800,0.929863
525.900,0.929855
526.000,0.929845
526.100,0.929837
526.200,0.929828
526.300,0.929819
526.400,0.929810
526.500,0.929801
526.600,0.929793
526.700,0.929785
526.800,0.929776
526.900,0.929767
527.000,0.929758
527.100,0.929750
527.200,0.929741
527.300,0.929733
527.400,0.929724
527.500,0.929715
527.600,0.929706
527.700,0.929697
527.800,0.929688
527.900,0.929679
528.000,0.929670
528.100,0.929661
528.200,0.929653
528.300,0.929644
528.400,0.929636
528.500,0.929627
528.600,0.929619
528.700,0.929610
528.800,0.929601
528.900,0.929592
529.000,0.929584
529.100,0.929574
529.200,0.929567
529.300,0.929557
529.400,0.929549
529.500,0.929539
529.600,0.929530
529.700,0.929522
529.800,0.929513
529.900,0.929504
530.000,0.929496
530.100,0.929487
530.200,0.929479
530.300,0.929470
530.400,0.929461
530.500,0.929453
530.600,0.929443
530.700,0.929435
530.800,0.929426
530.900,0.929418
531.000,0.929408
531.100,0.929399
531.200,0.929390
531.300,0.929381
531.400,0.929372
531.500,0.929364
531.600,0.929355
531.700,0.929347
531.800,0.929338
531.900,0.929329
532.000,0.929321
532.100,0.929312
532.200,0.929303
532.300,0.929294
532.400,0.929285
532.500,0.929276
532.600,0.929267
532.700,0.929258
532.800,0.929249
532.900,0.929239
533.000,0.929230
533.100,0.929222
533.200,0.929213
533.300,0.929204
533.400,0.929195
533.500,0.929186
533.600,0.929177
533.700,0.929168
533.800,0.929159
533.900,0.929150
534.000,0.929141
534.100,0.929132
534.200,0.929122
