Wavelength,Reflectance
503.000,0.804719
503.100,0.804689
503.200,0.804658
503.300,0.804627
503.400,0.804594
503.500,0.804563
503.600,0.804533
503.700,0.804502
503.800,0.804468
503.900,0.804437
504.000,0.804406
504.100,0.804375
504.200,0.804345
504.300,0.804312
504.400,0.804282
504.500,0.804252
504.600,0.804222
504.700,0.804189
504.800,0.804159
504.900,0.804129
505.000,0.804099
505.100,0.804066
505.200,0.804035
505.300,0.804005
505.400,0.803975
505.500,0.803945
505.600,0.803911
505.700,0.803881
505.800,0.803850
505.900,0.803822
506.000,0.803789
506.100,0.803760
506.200,0.803730
506.300,0.803701
506.400,0.803669
506.500,0.803639
506.600,0.803610
506.700,0.803580
506.800,0.803550
506.900,0.803518
507.000,0.803488
507.100,0.803458
507.200,0.803428
507.300,0.803395
507.400,0.803366
507.500,0.803337
507.600,0.803308
507.700,0.803280
507.800,0.803248
507.900,0.803220
508.000,0.803191
508.100,0.803162
508.200,0.803131
508.300,0.803102
508.400,0.803072
508.500,0.803043
508.600,0.803014
508.700,0.802982
508.800,0.802953
508.900,0.802923
509.000,0.802894
509.100,0.802864
509.200,0.802836
509.300,0.802808
509.400,0.802780
509.500,0.802751
509.600,0.802720
509.700,0.802692
509.800,0.802664
509.900,0.802635
510.000,0.802607
510.100,0.802575
510.200,0.802546
510.300,0.802518
510.400,0.802489
510.500,0.802457
510.600,0.802429
510.700,0.802402
510.800,0.802375
510.900,0.802347
511.000,0.802317
511.100,0.802289
511.200,0.802261
511.300,0.802234
511.400,0.802203
511.500,0.802175
511.600,0.802147
511.700,0.802119
511.800,0.802091
511.900,0.802060
512.000,0.802032
512.100,0.802003
512.200,0.801976
512.300,0.801946
512.400,0.801919
512.500,0.801892
512.600,0.801865
512.700,0.801838
512.800,0.801808
512.900,0.801781
513.000,0.801753
513.100,0.801726
513.200,0.801695
513.300,0.801668
513.400,0.801640
513.500,0.801612
513.600,0.801584
513.700,0.801554
513.800,0.801526
513.900,0.801500
514.000,0.801474
514.100,0.801444
514.200,0.801418
514.300,0.801391
514.400,0.801364
514.500,0.801338
514.600,0.801308
514.700,0.801281
514.800,0.801254
514.900,0.801227
515.000,0.801196
515.100,0.801169
515.200,0.801142
515.300,0.801114
515.400,0.801088
515.500,0.801059
515.600,0.801033
515.700,0.801007
515.800,0.800981
515.900,0.800951
516.000,0.800925
516.100,0.800899
516.200,0.800872
516.300,0.800845
516.400,0.800816
516.500,0.800789
516.600,0.800762
516.700,0.800735
516.800,0.800708
516.900,0.800678
517.000,0.800652
517.100,0.800626
517.200,0.800601
517.300,0.800572
517.400,0.800547
517.500,0.800520
517.600,0.800494
517.700,0.800468
517.800,0.800439
517.900,0.800413
518.000,0.800386
518.100,0.800360
518.200,0.800331
518.300,0.800304
518.400,0.800277
518.500,0.800250
518.600,0.800225
518.700,0.800197
518.800,0.800171
518.900,0.800146
519.000,0.800120
519.100,0.800091
519.200,0.800065
519.300,0.800039
519.400,0.800014
519.500,0.799988
519.600,0.799959
519.700,0.799932
519.800,0.799906
519.900,0.799880
520.000,0.799850
520.100,0.799824
520.200,0.799798
520.300,0.799774
520.400,0.799748
520.500,0.799720
520.600,0.799694
520.700,0.799669
520.800,0.799643
520.900,0.799614
521.000,0.799588
521.100,0.799563
521.200,0.799536
521.300,0.799511
521.400,0.799481
521.500,0.799456
521.600,0.799429
521.700,0.799403
521.800,0.799375
521.900,0.799349
522.000,0.799324
522.100,0.799299
522.200,0.799273
522.300,0.799245
522.400,0.799219
522.500,0.799194
522.600,0.799168
522.700,0.799139
522.800,0.799114
522.900,0.799088
523.000,0.799061
523.100,0.799035
523.200,0.799006
523.300,0.798980
523.400,0.798955
523.500,0.798930
523.600,0.798904
523.700,0.798876
523.800,0.798850
523.900,0.798825
524.000,0.798799
524.100,0.798770
524.200,0.798745
524.300,0.798719
524.400,0.798693
524.500,0.798666
524.600,0.798638
524.700,0.798612
524.800,0.798586
524.900,0.798559
525.000,0.798531
525.100,0.798505
525.200,0.798480
525.300,0.798454
525.400,0.798428
525.500,0.798400
525.600,0.798374
525.700,0.798348
525.800,0.798322
525.900,0.798293
526.000,0.798267
526.100,0.798241
526.200,0.798214
526.300,0.798185
526.400,0.798159
526.500,0.798133
526.600,0.798107
526.700,0.798078
526.800,0.798053
526.900,0.798027
527.000,0.798001
527.100,0.797972
527.200,0.797945
527.300,0.797919
527.400,0.797893
527.500,0.797864
527.600,0.797838
527.700,0.797811
